2026-01-13 02:04:24 install libbz2-1.0:amd64 <none> 1.0.8-5.1
2026-01-13 02:04:24 status half-installed libbz2-1.0:amd64 1.0.8-5.1
2026-01-13 02:04:24 status unpacked libbz2-1.0:amd64 1.0.8-5.1
2026-01-13 02:04:24 install libc-bin:amd64 <none> 2.39-0ubuntu8
2026-01-13 02:04:24 status half-installed libc-bin:amd64 2.39-0ubuntu8
2026-01-13 02:04:24 status unpacked libc-bin:amd64 2.39-0ubuntu8
2026-01-13 02:04:24 upgrade libc6:amd64 2.39-0ubuntu8 2.39-0ubuntu8
2026-01-13 02:04:24 status half-configured libc6:amd64 2.39-0ubuntu8
2026-01-13 02:04:24 status unpacked libc6:amd64 2.39-0ubuntu8
2026-01-13 02:04:24 status half-installed libc6:amd64 2.39-0ubuntu8
2026-01-13 02:04:25 status unpacked libc6:amd64 2.39-0ubuntu8
2026-01-13 02:04:25 install libcap-ng0:amd64 <none> 0.8.4-2build2
2026-01-13 02:04:25 status half-installed libcap-ng0:amd64 0.8.4-2build2
2026-01-13 02:04:25 status unpacked libcap-ng0:amd64 0.8.4-2build2
2026-01-13 02:04:25 install libcap2:amd64 <none> 1:2.66-5ubuntu2
2026-01-13 02:04:25 status half-installed libcap2:amd64 1:2.66-5ubuntu2
2026-01-13 02:04:25 status unpacked libcap2:amd64 1:2.66-5ubuntu2
2026-01-13 02:04:25 install libcom-err2:amd64 <none> 1.47.0-2.4~exp1ubuntu4
2026-01-13 02:04:25 status half-installed libcom-err2:amd64 1.47.0-2.4~exp1ubuntu4
2026-01-13 02:04:25 status unpacked libcom-err2:amd64 1.47.0-2.4~exp1ubuntu4
2026-01-13 02:04:25 install libcrypt1:amd64 <none> 1:4.4.36-4build1
2026-01-13 02:04:25 status half-installed libcrypt1:amd64 1:4.4.36-4build1
2026-01-13 02:04:25 status unpacked libcrypt1:amd64 1:4.4.36-4build1
2026-01-13 02:04:25 install libdebconfclient0:amd64 <none> 0.271ubuntu3
2026-01-13 02:04:25 status half-installed libdebconfclient0:amd64 0.271ubuntu3
2026-01-13 02:04:25 status unpacked libdebconfclient0:amd64 0.271ubuntu3
2026-01-13 02:04:25 install libext2fs2t64:amd64 <none> 1.47.0-2.4~exp1ubuntu4
2026-01-13 02:04:25 status half-installed libext2fs2t64:amd64 1.47.0-2.4~exp1ubuntu4
2026-01-13 02:04:25 status unpacked libext2fs2t64:amd64 1.47.0-2.4~exp1ubuntu4
2026-01-13 02:04:25 install libgcc-s1:amd64 <none> 14-20240412-0ubuntu1
2026-01-13 02:04:25 status half-installed libgcc-s1:amd64 14-20240412-0ubuntu1
2026-01-13 02:04:25 status unpacked libgcc-s1:amd64 14-20240412-0ubuntu1
